Epoch,Validation
0,0.988
0,0.989
0,0.989
0,0.988
0,0.989
0,0.989
0,0.986
0,0.987
0,0.987
0,0.986
0,0.982
0,0.983
0,0.988
0,0.992
0,0.99
0,0.987
0,0.987
0,0.985
0,0.986
0,0.985
0,0.987
0,0.986
0,0.984
0,0.981
0,0.98
0,0.981
0,0.986
0,0.989
0,0.989
0,0.992
0,0.992
0,0.993
0,0.99
0,0.989
0,0.99
0,0.99
0,0.992
0,0.994
0,0.994
0,0.996
0,0.996
0,0.995
0,0.994
0,0.994
0,0.994
0,0.994
0,0.995
0,0.996
0,0.994
0,0.992
0,0.989
0,0.987
0,0.986
0,0.988
0,0.988
0,0.99
0,0.988
0,0.988
0,0.986
0,0.987
0,0.983
0,0.982
0,0.983
0,0.978
0,0.983
0,0.985
0,0.985
0,0.987
0,0.988
0,0.988
0,0.987
0,0.985
0,0.984
0,0.983
0,0.984
0,0.985
0,0.988
0,0.99
0,0.99
0,0.989
0,0.991
0,0.99
0,0.991
0,0.99
0,0.989
0,0.985
0,0.986
0,0.992
0,0.995
0,0.994
0,0.994
0,0.988
0,0.988
0,0.986
0,0.985
0,0.986
0,0.985
0,0.987
0,0.99
0,0.991
0,0.992
0,0.99
0,0.989
0,0.99
0,0.988
0,0.983
0,0.984
0,0.985
0,0.986
0,0.988
0,0.991
0,0.992
0,0.992
0,0.991
0,0.992
0,0.993
0,0.99
0,0.99
0,0.99
0,0.989
0,0.989
0,0.991
0,0.99
0,0.991
0,0.992
0,0.992
0,0.992
0,0.992
0,0.992
0,0.993
0,0.993
0,0.994
0,0.993
0,0.992
0,0.992
0,0.993
0,0.993
0,0.992
0,0.994
0,0.993
0,0.993
0,0.993
0,0.994
0,0.993
0,0.992
0,0.99
0,0.99
0,0.99
0,0.988
0,0.986
0,0.986
0,0.99
0,0.992
0,0.993
0,0.995
0,0.994
0,0.992
0,0.988
0,0.988
0,0.987
0,0.99
0,0.992
0,0.992
0,0.992
0,0.988
0,0.986
0,0.987
0,0.985
0,0.987
0,0.987
0,0.988
0,0.989
0,0.99
0,0.988
0,0.985
0,0.985
0,0.986
0,0.988
0,0.988
0,0.988
0,0.988
0,0.988
0,0.988
0,0.99
0,0.99
0,0.989
0,0.99
0,0.99
0,0.99
0,0.99
0,0.989
0,0.989
0,0.989
0,0.989
0,0.988
0,0.986
0,0.987
0,0.986
0,0.986
0,0.986
0,0.986
0,0.987
0,0.99
0,0.99
0,0.991
0,0.991
0,0.989
0,0.988
0,0.989
0,0.99
0,0.991
0,0.99
0,0.99
0,0.991
0,0.989
0,0.99
0,0.99
0,0.991
0,0.994
0,0.992
0,0.992
0,0.992
0,0.991
0,0.99
0,0.989
0,0.988
0,0.989
0,0.992
0,0.992
0,0.992
0,0.992
0,0.992
0,0.994
0,0.994
0,0.994
0,0.992
0,0.991
0,0.989
0,0.988
0,0.99
0,0.989
0,0.99
0,0.993
0,0.992
0,0.99
0,0.989
0,0.99
0,0.992
0,0.992
0,0.993
0,0.993
0,0.991
0,0.987
0,0.984
0,0.983
0,0.98
0,0.98
0,0.986
0,0.989
0,0.994
0,0.994
0,0.992
0,0.992
0,0.991
0,0.99
0,0.992
0,0.994
0,0.996
0,0.995
0,0.994
0,0.992
0,0.991
0,0.99
0,0.989
0,0.99
0,0.991
0,0.992
0,0.992
0,0.992
0,0.993
0,0.994
0,0.993
0,0.993
0,0.992
0,0.992
0,0.991
0,0.992
0,0.991
0,0.991
0,0.991
0,0.991
0,0.991
0,0.99
0,0.992
0,0.99
0,0.99
0,0.991
0,0.991
0,0.993
0,0.992
0,0.994
0,0.995
0,0.996
0,0.996
0,0.996
0,0.994
0,0.993
0,0.99
0,0.986
0,0.99
0,0.993
0,0.992
0,0.993
0,0.995
0,0.994
0,0.995
0,0.995
0,0.995
0,0.995
0,0.995
0,0.996
0,0.996
0,0.996
0,0.995
0,0.995
0,0.994
0,0.995
0,0.994
0,0.995
0,0.995
0,0.995
0,0.995
0,0.995
0,0.995
0,0.994
0,0.994
0,0.995
0,0.996
0,0.996
0,0.997
0,0.997
0,0.995
0,0.995
0,0.995
0,0.996
0,0.996
0,0.997
0,0.995
0,0.993
0,0.993
0,0.993
0,0.992
0,0.992
0,0.992
0,0.992
0,0.991
0,0.991
0,0.993
0,0.993
0,0.99
0,0.987
0,0.986
0,0.99
0,0.99
0,0.99
0,0.993
0,0.993
0,0.997
0,0.997
0,0.997
0,0.996
0,0.995
0,0.993
0,0.993
0,0.994
0,0.996
0,0.997
0,0.995
0,0.995
0,0.995
0,0.994
0,0.993
0,0.99
0,0.99
0,0.988
0,0.988
0,0.99
0,0.993
0,0.993
0,0.993
0,0.995
0,0.993
0,0.993
0,0.994
0,0.994
0,0.994
0,0.994
0,0.994
0,0.993
0,0.992
0,0.993
0,0.995
0,0.996
0,0.996
0,0.996
0,0.995
0,0.993
0,0.991
0,0.989
0,0.991
0,0.994
0,0.994
0,0.995
0,0.995
0,0.996
0,0.998
0,0.998
0,0.997
0,0.996
0,0.997
0,0.997
0,0.998
0,0.998
0,0.998
0,0.998
0,0.997
0,0.996
0,0.996
0,0.995
0,0.995
